tick,timestamp,total_orders,delivered,reassigned,failed,on_time_rate,avg_distance,agents_busy,cost_saved_inr
1,1774000700.5564063,100,1,1,0,100.0,25.19,20,328
1,1774000835.070812,100,1,1,0,100.0,25.19,20,328
1,1774000874.3457587,100,1,1,0,100.0,25.19,20,328
1,1774000906.8098722,100,1,1,0,100.0,25.19,20,328
1,1774000920.5475118,100,1,1,0,100.0,25.19,20,328
1,1774000947.003334,100,1,1,0,100.0,25.19,20,328
1,1774001014.2132883,100,1,1,0,100.0,25.19,20,328
1,1774001064.560818,100,1,1,0,100.0,25.19,20,328
1,1774001099.019605,100,1,1,0,100.0,25.19,20,328
1,1774001260.9204879,100,1,1,0,100.0,25.19,20,328
1,1774001278.180268,100,1,1,0,100.0,25.19,20,328
1,1774001524.8263812,100,1,1,0,100.0,25.19,20,328
1,1774001536.8200657,100,1,1,0,100.0,25.19,20,328
1,1774001778.8556862,100,1,1,0,100.0,25.19,20,328
1,1774019255.9367795,100,1,1,0,100.0,25.19,20,328
1,1774020115.3488657,100,1,1,0,100.0,25.19,20,328
1,1774020220.1002498,100,1,1,0,100.0,25.19,20,328
1,1774020249.0596516,100,1,1,0,100.0,25.19,20,328
1,1774020928.2715704,100,1,1,0,100.0,25.19,20,328
1,1774021255.9429872,100,1,1,0,100.0,25.19,20,328
1,1774022074.2960749,100,1,1,0,100.0,25.19,20,328
1,1774022528.6881568,100,1,1,0,100.0,25.19,20,328
1,1774022568.6160758,120,1,1,0,100.0,30.58,25,263
1,1774022587.1336255,150,3,0,0,100.0,25.64,30,967
1,1774022636.2421014,100,0,0,1,0.0,24.49,20,0
1,1774022741.0467958,100,1,1,0,100.0,25.19,20,328
1,1774022809.6209977,100,1,1,0,100.0,25.19,20,328
1,1774022847.1745486,100,1,1,0,100.0,25.19,20,328
1,1774022857.8925583,100,1,1,0,100.0,25.19,20,328
1,1774022873.642602,100,1,1,0,100.0,25.19,20,328
1,1774023206.6529546,100,1,1,0,100.0,25.19,20,328
1,1774023294.3697944,120,1,1,0,100.0,30.58,25,263
1,1774023424.9767115,100,0,0,1,0.0,24.49,20,0
1,1774025466.276169,100,1,1,0,100.0,25.19,20,328
1,1774026005.674979,100,1,1,0,100.0,25.19,20,328
1,1774026023.8362002,100,1,1,0,100.0,25.19,20,328
1,1774026054.9523132,100,1,1,0,100.0,25.19,20,328
1,1774026073.721408,100,1,1,0,100.0,25.19,20,328
2,1774000703.576805,103,1,1,0,100.0,25.91,20,319
2,1774000838.096586,103,1,1,0,100.0,25.91,20,319
2,1774000877.3646169,103,1,1,0,100.0,25.91,20,319
2,1774000909.8194954,103,1,1,0,100.0,25.91,20,319
2,1774000923.5754926,103,1,1,0,100.0,25.91,20,319
2,1774021258.956434,103,1,1,0,100.0,25.91,20,319
2,1774022077.340102,103,1,1,0,100.0,25.91,20,319
2,1774022531.7089016,103,1,1,0,100.0,25.91,20,319
2,1774022571.7237725,123,1,2,1,50.0,29.48,25,276
2,1774022590.1546721,153,4,1,0,100.0,25.28,30,1307
2,1774022639.2614763,108,1,0,1,50.0,25.72,20,321
2,1774022744.055006,103,1,1,0,100.0,25.91,20,319
2,1774022812.6311204,103,1,1,0,100.0,25.91,20,319
2,1774022860.938497,103,1,1,0,100.0,25.91,20,319
2,1774022876.6606774,103,1,1,0,100.0,25.91,20,319
2,1774023209.6667166,103,1,1,0,100.0,25.91,20,319
